31_1	What is throat cancer ? throat cancer
31_2	Is  throat cancer treatable ? throat cancer
31_3	Tell me about lung cancer . throat cancer lung cancer
31_4	What are  lung cancer symptoms ? throat cancer lung cancer its symptoms
31_5	Can  lung cancer spread to the throat ? throat cancer lung cancer its symptoms the throat
31_6	What causes throat cancer ? throat cancer lung cancer its symptoms the throat throat cancer
31_7	What is the first sign of  lung cancer ? throat cancer lung cancer its symptoms the throat throat cancer the first sign
31_8	Is  lung cancer the same as esophageal cancer ? throat cancer lung cancer its symptoms the throat throat cancer the first sign esophageal cancer
31_9	What 's the difference in  lung cancer symptoms ? throat cancer lung cancer its symptoms the throat throat cancer the first sign esophageal cancer the difference their symptoms
32_1	What are the different types of sharks ? the different types sharks
32_2	Are sharks endangered ?   If so , which species ? the different types sharks sharks
32_3	Tell me more about tiger sharks . the different types sharks sharks tiger sharks
32_4	What is the largest ever to have lived on Earth ? the different types sharks sharks tiger sharks Earth
32_5	What 's the biggest ever caught ? the different types sharks sharks tiger sharks Earth
32_6	What about for great whites ? the different types sharks sharks tiger sharks Earth great whites
32_7	Tell me about makos . the different types sharks sharks tiger sharks Earth great whites makos
32_8	What are  makos adaptations ? the different types sharks sharks tiger sharks Earth great whites makos their adaptations
32_9	Where do  makos live ? the different types sharks sharks tiger sharks Earth great whites makos their adaptations
32_10	What do  makos eat ? the different types sharks sharks tiger sharks Earth great whites makos their adaptations
32_11	How do  makos compare with tigers for being dangerous ? the different types sharks sharks tiger sharks Earth great whites makos their adaptations tigers
33_1	Tell me about the Neverending Story film . the Neverending Story film
33_2	What is  the Neverending Story film about ? the Neverending Story film
33_3	How was  the Neverending Story film received ? the Neverending Story film
33_4	Did  the Neverending Story film win any awards ? the Neverending Story film any awards
33_5	Was  the Neverending Story film a book first ? the Neverending Story film any awards
33_6	Who was the author and when what  the Neverending Story film published ? the Neverending Story film any awards
33_7	What are the main themes ? the Neverending Story film any awards the main themes
33_8	Who are the main characters ? the Neverending Story film any awards the main themes
33_9	What are the differences between the book and movies ? the Neverending Story film any awards the main themes the differences the book
33_10	Did the horse Artax really die ? the Neverending Story film any awards the main themes the differences the book the horse Artax
34_1	Tell me about the Bronze Age collapse . the Bronze Age collapse
34_2	What is the evidence for  the Bronze Age collapse ? the Bronze Age collapse the evidence
34_3	What are some of the possible causes ? the Bronze Age collapse the evidence the possible causes
34_4	Who were the Sea Peoples ? the Bronze Age collapse the evidence the possible causes
34_5	What was  the Bronze Age collapse role in  the Bronze Age collapse ? the Bronze Age collapse the evidence the possible causes their role
34_6	What other factors led to a breakdown of trade ? the Bronze Age collapse the evidence the possible causes their role What other factors a breakdown trade
34_7	What about environmental factors ? the Bronze Age collapse the evidence the possible causes their role What other factors a breakdown trade environmental factors
34_8	What empires survived ? the Bronze Age collapse the evidence the possible causes their role What other factors a breakdown trade environmental factors
34_9	What came after  the Bronze Age collapse ? the Bronze Age collapse the evidence the possible causes their role What other factors a breakdown trade environmental factors
37_1	What was the Stanford Experiment ? the Stanford Experiment
37_2	What did  the Stanford Experiment show ? the Stanford Experiment
37_3	Tell me about the author of the experiment . the Stanford Experiment the author the experiment
37_4	Was  the author of the experiment ethical ? the Stanford Experiment the author the experiment
37_5	What are other similar experiments ? the Stanford Experiment the author the experiment
37_6	What happened in the Milgram experiment ? the Stanford Experiment the author the experiment the Milgram experiment
37_7	Why was  the author of the experiment important ? the Stanford Experiment the author the experiment the Milgram experiment
37_8	What were the similarities and differences between the studies ? the Stanford Experiment the author the experiment the Milgram experiment the similarities the studies
37_9	What about the BBC experiment ? the Stanford Experiment the author the experiment the Milgram experiment the similarities the studies the BBC experiment
37_10	What are the key findings ? the Stanford Experiment the author the experiment the Milgram experiment the similarities the studies the BBC experiment the key findings
37_11	How did the results differ ? the Stanford Experiment the author the experiment the Milgram experiment the similarities the studies the BBC experiment the key findings the results
37_12	Why was  the author of the experiment ended ? the Stanford Experiment the author the experiment the Milgram experiment the similarities the studies the BBC experiment the key findings the results
40_1	What are the origins of popular music ? the origins popular music
40_2	What are  the origins popular music characteristics ? the origins popular music its characteristics
40_3	What technological developments enabled  the origins popular music ? the origins popular music its characteristics What technological developments
40_4	When and why did people start taking pop seriously ? the origins popular music its characteristics What technological developments people pop
40_5	How has  the origins popular music been integrated into music education ? the origins popular music its characteristics What technological developments people pop music education
40_6	Describe some of the influential pop bands . the origins popular music its characteristics What technological developments people pop music education the influential pop bands
40_7	What makes a song pop punk ? the origins popular music its characteristics What technological developments people pop music education the influential pop bands a song pop punk
40_8	What is the difference between  the origins popular music and emo ? the origins popular music its characteristics What technological developments people pop music education the influential pop bands a song pop punk the difference
40_9	How did Britpop change music ? the origins popular music its characteristics What technological developments people pop music education the influential pop bands a song pop punk the difference
40_10	What are  the origins popular music roots and what influenced  the origins popular music ? the origins popular music its characteristics What technological developments people pop music education the influential pop bands a song pop punk the difference its roots
49_1	How was Netflix started ? Netflix
49_2	How did  Netflix originally work ? Netflix
49_3	What is  Netflix relationship with Blockbuster ? Netflix its relationship Blockbuster
49_4	When did Netflix shift from DVDs to a streaming service ? Netflix its relationship Blockbuster Netflix DVDs a streaming service
49_5	What are  Netflix other competitors ? Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors
49_6	How does  Netflix compare to Amazon Prime Video ? Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors Amazon Prime Video
49_7	Describe  Netflix ’s subscriber growth over time . Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors Amazon Prime Video ’s subscriber growth time
49_8	How has  Netflix changed the way TV is watched ? Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors Amazon Prime Video ’s subscriber growth time TV
49_9	How has  Netflix impacted society ? Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors Amazon Prime Video ’s subscriber growth time TV society
49_10	How about dating and relationships ? Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors Amazon Prime Video ’s subscriber growth time TV society
50_1	What was the first artificial satellite ? 
50_2	What are the types of orbits ? the types orbits
50_3	What are the important classes of satellite ? the types orbits the important classes satellite
50_4	How do navigation systems work ? the types orbits the important classes satellite navigation systems
50_5	What is the Galileo system and why is What the first artificial satellite  important ? the types orbits the important classes satellite navigation systems the Galileo system
50_6	Why did What the first artificial satellite  create tension with the US ? the types orbits the important classes satellite navigation systems the Galileo system tension the US
50_7	What are Cubesats ? the types orbits the important classes satellite navigation systems the Galileo system tension the US Cubesats
50_8	What are What the first artificial satellite  advantages ? the types orbits the important classes satellite navigation systems the Galileo system tension the US Cubesats their advantages
50_9	What are What the first artificial satellite  used for ? the types orbits the important classes satellite navigation systems the Galileo system tension the US Cubesats their advantages
50_10	What is What the first artificial satellite  future ? the types orbits the important classes satellite navigation systems the Galileo system tension the US Cubesats their advantages their future
54_1	What is worth seeing in Washington D.C. ? Washington D.C.
54_2	Which Smithsonian museums are the most popular ? Washington D.C. Which Smithsonian museums
54_3	Why is the National Air and Space Museum important ? Washington D.C. Which Smithsonian museums the National Air and Space Museum
54_4	Is the Spy Museum free ? Washington D.C. Which Smithsonian museums the National Air and Space Museum the Spy Museum
54_5	What is there to do in DC after the museums close ? Washington D.C. Which Smithsonian museums the National Air and Space Museum the Spy Museum DC the museums
54_6	What is the best time to visit the reflecting pools ? Washington D.C. Which Smithsonian museums the National Air and Space Museum the Spy Museum DC the museums the reflecting pools
54_7	Are there any famous foods ? Washington D.C. Which Smithsonian museums the National Air and Space Museum the Spy Museum DC the museums the reflecting pools
54_8	What is a DC half smoke ? Washington D.C. Which Smithsonian museums the National Air and Space Museum the Spy Museum DC the museums the reflecting pools
54_9	Tell me about  Washington D.C. history . Washington D.C. Which Smithsonian museums the National Air and Space Museum the Spy Museum DC the museums the reflecting pools its history
56_1	What is Darwin ’s theory in a nutshell ? Darwin’s theory a nutshell
56_2	How was  Darwin’s theory a nutshell developed ? Darwin’s theory a nutshell
56_3	How do sexual and asexual reproduction affect  Darwin’s theory a nutshell ? Darwin’s theory a nutshell sexual and asexual reproduction
56_4	How can fossils be used to understand  Darwin’s theory a nutshell ? Darwin’s theory a nutshell sexual and asexual reproduction fossils
56_5	What is modern evidence for  Darwin’s theory a nutshell ? Darwin’s theory a nutshell sexual and asexual reproduction fossils
56_6	What is the impact on modern biology ? Darwin’s theory a nutshell sexual and asexual reproduction fossils the impact modern biology
56_7	Compare and contrast microevolution and macroevolution . Darwin’s theory a nutshell sexual and asexual reproduction fossils the impact modern biology microevolution
56_8	What is the relationship to speciation ? Darwin’s theory a nutshell sexual and asexual reproduction fossils the impact modern biology microevolution the relationship speciation
58_1	What is a real - time database ? 
58_2	How does What a real time database  differ from traditional ones ? traditional ones
58_3	What are the advantages of real - time processing ? traditional ones the advantages real-time processing
58_4	What are examples of important ones ? traditional ones the advantages real-time processing examples important ones
58_5	What are important applications ? traditional ones the advantages real-time processing examples important ones
58_6	What are important cloud options ? traditional ones the advantages real-time processing examples important ones important cloud options
58_7	Tell me about the Firebase DB . traditional ones the advantages real-time processing examples important ones important cloud options the Firebase DB
58_8	How is  the firebase db used in mobile apps ? traditional ones the advantages real-time processing examples important ones important cloud options the Firebase DB mobile apps
59_1	Which weekend sports have the most injuries ? sports the most injuries
59_2	What are the most common types of injuries ? sports the most injuries the most common types injuries
59_3	What is the ACL ? sports the most injuries the most common types injuries the ACL
59_4	What is an injury for  sports the most injuries ? sports the most injuries the most common types injuries the ACL
59_5	Tell me about the RICE method . sports the most injuries the most common types injuries the ACL the RICE method
59_6	Is there disagreement about  the rice method ? sports the most injuries the most common types injuries the ACL the RICE method
59_7	What is arnica used for ? sports the most injuries the most common types injuries the ACL the RICE method
59_8	What are some ways to avoid injury ? sports the most injuries the most common types injuries the ACL the RICE method injury
61_1	Who are The Avengers ? 
61_2	Tell me about Who The Avengers  first appearance . their first appearance
61_3	Who is the most powerful and why ? their first appearance
61_4	What is the relationship of Spider - Man to the team ? their first appearance the relationship Spider-Man the team
61_5	Why is Batman not a member ? their first appearance the relationship Spider-Man the team Batman a member
61_6	What is an important team in the DC universe ? their first appearance the relationship Spider-Man the team Batman a member the DC universe
61_7	Tell me about the origins of the Justice League . their first appearance the relationship Spider-Man the team Batman a member the DC universe the origins the Justice League
61_8	Who are the important members ? their first appearance the relationship Spider-Man the team Batman a member the DC universe the origins the Justice League
61_9	Which team came first ? their first appearance the relationship Spider-Man the team Batman a member the DC universe the origins the Justice League Which team
67_1	Why is blood red ? 
67_2	What are red blood cells ? red blood cells
67_3	How are Why blood red  created ? red blood cells
67_4	How is oxygen transported ? red blood cells oxygen
67_5	What is anemia ? red blood cells oxygen anemia
67_6	What are the symptoms ? red blood cells oxygen anemia the symptoms
67_7	Can Why blood red  go away ? red blood cells oxygen anemia the symptoms
67_8	What are Why blood red  possible causes ? red blood cells oxygen anemia the symptoms its possible causes
67_9	How is Why blood red  treated ? red blood cells oxygen anemia the symptoms its possible causes
67_10	What foods contain high levels of iron ? red blood cells oxygen anemia the symptoms its possible causes What foods high levels iron
67_11	What improves absorption ? red blood cells oxygen anemia the symptoms its possible causes What foods high levels iron absorption
68_1	What is cuisine is Emilia - Romagna famous for ? 
68_2	Tell me about cooking schools and classes . schools
68_3	What are famous foods from the region ? schools famous foods the region
68_4	Describe the traditional process for making balsamic vinegar ? schools famous foods the region the traditional process balsamic vinegar
68_5	What is mortadella and where is  cooking schools and classes from ? schools famous foods the region the traditional process balsamic vinegar
68_6	What ’s the difference with Bologna ? schools famous foods the region the traditional process balsamic vinegar the difference Bologna
68_7	Where was Parmesan cheese created ? schools famous foods the region the traditional process balsamic vinegar the difference Bologna Parmesan cheese
68_8	What is done with the whey after production ? schools famous foods the region the traditional process balsamic vinegar the difference Bologna Parmesan cheese the whey production
68_9	What are typical pasta dishes ? schools famous foods the region the traditional process balsamic vinegar the difference Bologna Parmesan cheese the whey production typical pasta dishes
68_10	What is the history of tagliatelle al ragu bolognese ? schools famous foods the region the traditional process balsamic vinegar the difference Bologna Parmesan cheese the whey production typical pasta dishes the history tagliatelle al ragu bolognese
68_11	What are  cooking schools and classes common variations ? schools famous foods the region the traditional process balsamic vinegar the difference Bologna Parmesan cheese the whey production typical pasta dishes the history tagliatelle al ragu bolognese its common variations
69_1	How do you sleep after jet lag ? jet lag
69_2	Does melatonin help ? jet lag melatonin
69_3	How was  jet lag discovered ? jet lag melatonin
69_4	What are good sources in food ? jet lag melatonin food
69_5	Is melatonin bad for you ? jet lag melatonin food
69_6	What are the side effects ? jet lag melatonin food the side effects
69_7	Why does  jet lag require a prescription in the UK ? jet lag melatonin food the side effects a prescription the UK
69_8	How can I increase my levels naturally ? jet lag melatonin food the side effects a prescription the UK my levels
69_9	Is  jet lag effective for treating insomnia ? jet lag melatonin food the side effects a prescription the UK my levels insomnia
69_10	How about for anxiety ? jet lag melatonin food the side effects a prescription the UK my levels insomnia anxiety
75_1	Why do turkey and Turkey share the same name ? turkey the same name
75_2	Where are turkeys from ? turkey the same name turkeys
75_3	What was  turkey the same name importance in native cultures ? turkey the same name turkeys their importance native cultures
75_4	When and how were  turkey the same name domesticated ? turkey the same name turkeys their importance native cultures
75_5	Can  turkey the same name fly ? turkey the same name turkeys their importance native cultures
75_6	Why did Ben Franklin want  turkey the same name to be the national symbol ? turkey the same name turkeys their importance native cultures Ben Franklin
75_7	How did  turkey the same name cook  turkey the same name ? turkey the same name turkeys their importance native cultures Ben Franklin
75_8	Why is  turkey the same name eaten on Thanksgiving ? turkey the same name turkeys their importance native cultures Ben Franklin Thanksgiving
75_9	How did  turkey the same name become traditional for Christmas dinner in Britain ? turkey the same name turkeys their importance native cultures Ben Franklin Thanksgiving Christmas dinner Britain
75_10	When did  turkey the same name become popular ? turkey the same name turkeys their importance native cultures Ben Franklin Thanksgiving Christmas dinner Britain
77_1	What 's the difference between soup and stew ? the difference soup
77_2	Is chilli a stew ? the difference soup chilli
77_3	How about goulash ? the difference soup chilli goulash
77_4	What are popular ones in France ? the difference soup chilli goulash France
77_5	How is cassoulet made ? the difference soup chilli goulash France cassoulet
77_6	Tell me about feijoada and  the difference soup significance . the difference soup chilli goulash France cassoulet feijoada
77_7	How is  the difference soup similar or different from cassoulet ? the difference soup chilli goulash France cassoulet feijoada cassoulet
77_8	Tell about Bigos stew . the difference soup chilli goulash France cassoulet feijoada cassoulet Bigos stew
77_9	Why is  the difference soup important ? the difference soup chilli goulash France cassoulet feijoada cassoulet Bigos stew
77_10	What is the history of Irish stew ? the difference soup chilli goulash France cassoulet feijoada cassoulet Bigos stew the history Irish stew
78_1	What is the keto diet ? the keto diet
78_2	Why was  the keto diet original developed ? the keto diet
78_3	What is ketosis ? the keto diet
78_4	What is paleo ? the keto diet
78_5	What do  the keto diet have in common ? the keto diet
78_6	How are  the keto diet different ? the keto diet
78_7	What is intermittent fasting ? the keto diet
78_8	How is  the keto diet related to keto ? the keto diet
78_9	What is the 16/8 method ? the keto diet the 16/8 method
78_10	What is the best for weight loss ? the keto diet the 16/8 method weight loss
79_1	What is taught in sociology ? sociology
79_2	What is the main contribution of Auguste Comte ? sociology the main contribution Auguste Comte
79_3	What is the role of positivism in  sociology ? sociology the main contribution Auguste Comte the role positivism
79_4	What is Herbert Spencer known for ? sociology the main contribution Auguste Comte the role positivism Herbert Spencer
79_5	How is  sociology work related to Comte ? sociology the main contribution Auguste Comte the role positivism Herbert Spencer his work Comte
79_6	What is the functionalist theory ? sociology the main contribution Auguste Comte the role positivism Herbert Spencer his work Comte the functionalist theory
79_7	What is  sociology main criticism ? sociology the main contribution Auguste Comte the role positivism Herbert Spencer his work Comte the functionalist theory its main criticism
79_8	How does  sociology compare to conflict theory ? sociology the main contribution Auguste Comte the role positivism Herbert Spencer his work Comte the functionalist theory its main criticism conflict theory
79_9	What are modern examples of conflict theory ? sociology the main contribution Auguste Comte the role positivism Herbert Spencer his work Comte the functionalist theory its main criticism conflict theory modern examples conflict theory
